Key,Source,Context,English
questItem_PassiveCryptoMinerIndonesia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Indonesia [-]
questItem_PassiveCryptoMinerMexico01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Mexico [-]
questItem_PassiveCryptoMinerSpain01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Spain [-]
questItem_PassiveCryptoMinerSK01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer SK [-]
questItem_PassiveCryptoMinerMoldova01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Moldova [-]
questItem_PassiveCryptoMinerMalta01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Malta [-]
questItem_PassiveCryptoMinerLuxembourg01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Luxembourg [-]
questItem_PassiveCryptoMinerLithuania01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Lithuania [-]
questItem_PassiveCryptoMinerLiechtenstein01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Liechtenstein [-]
questItem_PassiveCryptoMinerLatvia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Latvia [-]
questItem_PassiveCryptoMinerKosovo01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Kosovo [-]
questItem_PassiveCryptoMinerIceland01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Iceland [-]
questItem_PassiveCryptoMinerGeorgia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Georgia [-]
questItem_PassiveCryptoMinerEstonia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Estonia [-]
questItem_PassiveCryptoMinerCyprus01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Cyprus [-]
questItem_PassiveCryptoMinerCroatia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Croatia [-]
questItem_PassiveCryptoMinerBulgaria01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Bulgaria [-]
questItem_PassiveCryptoMinerBosniaAndHerzegovina01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Bosnia And Herzegovina [-]
questItem_PassiveCryptoMinerBelarus01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Belarus [-]
questItem_PassiveCryptoMinerArmenia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Armenia [-]
questItem_PassiveCryptoMinerAndorra01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Andorra [-]
questItem_PassiveCryptoMinerAlbania01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Albania [-]
questItem_PassiveCryptoMinerUkraine01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Ukraine [-]
questItem_PassiveCryptoMinerSlovenia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Slovenia [-]
questItem_PassiveCryptoMinerSlovakia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Slovakia [-]
questItem_PassiveCryptoMinerSerbia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Serbia [-]
questItem_PassiveCryptoMinerSanMarino01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer San Marino [-]
questItem_PassiveCryptoMinerNorthMacedonia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer North Macedonia [-]
questItem_PassiveCryptoMinerMontenegro01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Montenegro [-]
questItem_PassiveCryptoMinerMonaco01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Monaco [-]
questItem_PassiveCryptoMinerGroenland01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Greenland [-]
questItem_PassiveCryptoMinerDukesT101,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive cryptominer Dukes T1 [-]
questItem_PassiveCryptoMinerDukesT201,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive cryptominer Dukes T2 [-]
questItem_PassiveCryptoMinerDukesT301,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive cryptominer Dukes T3 [-]
questItem_PassiveCryptoMinerDukesT401,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive cryptominer Dukes T4 [-]
questItem_PassiveCryptoMinerDukesT501,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive cryptominer Dukes T5 [-]
questItem_ammo9mmBulletBall100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 9mm ammo[-]
questItem_ammo9mmBulletBall1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 9mm ammo[-]
questItem_ammo9mmBulletHP100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 9mm HP ammo[-]
questItem_ammo9mmBulletHP1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 9mm HP ammo[-]
questItem_ammo9mmBulletAP100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 9mm AP ammo[-]
questItem_ammo9mmBulletAP1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 9mm AP ammo[-]
questItem_ammo44MagnumBulletBall100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 44MAG ammo[-]
questItem_ammo44MagnumBulletBall1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 44MAG ammo[-]
questItem_ammo44MagnumBulletHP100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 44MAG HP ammo[-]
questItem_ammo44MagnumBulletHP1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 44MAG HP ammo[-]
questItem_ammo44MagnumBulletAP100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 44MAG AP ammo[-]
questItem_ammo44MagnumBulletAP1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 44MAG AP ammo[-]
questItem_ammo762mmBulletBall100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 7.62mm ammo[-]
questItem_ammo762mmBulletBall1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 7.62mm ammo[-]
questItem_ammo762mmBulletHP100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 7.62mm HP ammo[-]
questItem_ammo762mmBulletHP1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 7.62mm HP ammo[-]
questItem_ammo762mmBulletAP100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * 7.62mm AP ammo[-]
questItem_ammo762mmBulletAP1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * 7.62mm AP ammo[-]
questItem_ammoShotgunShell100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * Shotgun ammo[-]
questItem_ammoShotgunShell1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * Shotgun ammo[-]
questItem_ammoShotgunSlug100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * Shotgun AP ammo[-]
questItem_ammoShotgunSlug1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * Shotgun AP ammo[-]
questItem_ammoShotgunBreachingSlug100,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]100 * Shotgun BS ammo[-]
questItem_ammoShotgunBreachingSlug1000,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * Shotgun BS ammo[-]
questItem_ammoRocketFrag20,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]20 * Rocket Frag ammo[-]
questItem_ammoRocketHE20,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]20 * Rocket HE ammo[-]
questItem_ammoJunkTurretRegular,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * Regular turret ammo[-]
questItem_ammoJunkTurretShell,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * Shell turret ammo[-]
questItem_ammoJunkTurretAP,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1000 * AP turret ammo[-]
questItem_ammoArrowStone,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]150 * Stone arrows[-]
questItem_ammoArrowIron,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]150 * Iron arrows[-]
questItem_ammoArrowSteelAP,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]150 * Steel AP arrows[-]
questItem_ammoArrowFlaming,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]150 * Flaming arrows[-]
questItem_ammoArrowExploding,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]75 * Exploding arrows[-]
questItem_ammoCrossbowBoltStone,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]150 * Stone bolts[-]
questItem_ammoCrossbowBoltIron,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]150 * Iron bolts[-]
questItem_ammoCrossbowBoltSteelAP,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]150 * Steel AP bolts[-]
questItem_ammoCrossbowBoltFlaming,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]150 * Flaming bolts[-]
questItem_ammoCrossbowBoltExploding,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]75 * Exploding bolts[-]
questItem_solarCellQ1,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Solar Cell Quality 1[-]
questItem_solarCellQ2,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Solar Cell Quality 2[-]
questItem_solarCellQ3,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Solar Cell Quality 3[-]
questItem_solarCellQ4,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Solar Cell Quality 4[-]
questItem_solarCellQ5,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Solar Cell Quality 5[-]
questItem_solarCellQ6,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Solar Cell Quality 6[-]
questItem_meleeToolRepairT0StoneAxe10,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]10 Stone Axes[-]
questItem_meleeToolRepairT1ClawHammerQ1,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Claw Hammer Quality 1[-]
questItem_meleeToolRepairT1ClawHammerQ2,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Claw Hammer Quality 2[-]
questItem_meleeToolRepairT1ClawHammerQ3,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Claw Hammer Quality 3[-]
questItem_meleeToolRepairT1ClawHammerQ4,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Claw Hammer Quality 4[-]
questItem_meleeToolRepairT1ClawHammerQ5,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Claw Hammer Quality 5[-]
questItem_meleeToolRepairT1ClawHammerQ6,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Claw Hammer Quality 6[-]
questItem_meleeToolRepairT3NailgunQ1,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Nailgun Quality 1[-]
questItem_meleeToolRepairT3NailgunQ2,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Nailgun Quality 2[-]
questItem_meleeToolRepairT3NailgunQ3,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Nailgun Quality 3[-]
questItem_meleeToolRepairT3NailgunQ4,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Nailgun Quality 4[-]
questItem_meleeToolRepairT3NailgunQ5,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Nailgun Quality 5[-]
questItem_meleeToolRepairT3NailgunQ6,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Nailgun Quality 6[-]
questItem_meleeToolAxeT1IronFireaxeQ1,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 FireAxe Quality 1[-]
questItem_meleeToolAxeT1IronFireaxeQ2,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 FireAxe Quality 2[-]
questItem_meleeToolAxeT1IronFireaxeQ3,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 FireAxe Quality 3[-]
questItem_meleeToolAxeT1IronFireaxeQ4,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 FireAxe Quality 4[-]
questItem_meleeToolAxeT1IronFireaxeQ5,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 FireAxe Quality 5[-]
questItem_meleeToolAxeT1IronFireaxeQ6,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 FireAxe Quality 6[-]
questItem_meleeToolAxeT2SteelAxeQ1,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 SteelAxe Quality 1[-]
questItem_meleeToolAxeT2SteelAxeQ2,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 SteelAxe Quality 2[-]
questItem_meleeToolAxeT2SteelAxeQ3,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 SteelAxe Quality 3[-]
questItem_meleeToolAxeT2SteelAxeQ4,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 SteelAxe Quality 4[-]
questItem_meleeToolAxeT2SteelAxeQ5,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 SteelAxe Quality 5[-]
questItem_meleeToolAxeT2SteelAxeQ6,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 SteelAxe Quality 6[-]
questItem_meleeToolPickT1IronPickaxeQ1,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Iron PickAxe Quality 1[-]
questItem_meleeToolPickT1IronPickaxeQ2,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Iron PickAxe Quality 2[-]
questItem_meleeToolPickT1IronPickaxeQ3,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Iron PickAxe Quality 3[-]
questItem_meleeToolPickT1IronPickaxeQ4,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Iron PickAxe Quality 4[-]
questItem_meleeToolPickT1IronPickaxeQ5,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Iron PickAxe Quality 5[-]
questItem_meleeToolPickT1IronPickaxeQ6,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Iron PickAxe Quality 6[-]
questItem_meleeToolPickT2SteelPickaxeQ1,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Steel PickAxe Quality 1[-]
